"","fixed.acidity_escalado","volatile.acidity_escalado","citric.acid_escalado","residual.sugar_escalado","chlorides_escalado","free.sulfur.dioxide_escalado","total.sulfur.dioxide_escalado","density_escalado","pH_escalado","sulphates_escalado","alcohol_escalado","quality_escalado"
"1",0.247787610619469,0.397260273972603,0,0.0684931506849315,0.106844741235392,0.140845070422535,0.0989399293286219,0.567547723935388,0.606299212598425,0.137724550898204,0.153846153846154,0.4
"2",0.283185840707965,0.520547945205479,0,0.116438356164384,0.143572621035058,0.338028169014085,0.215547703180212,0.494126284875182,0.362204724409449,0.209580838323353,0.215384615384615,0.4
"3",0.283185840707965,0.438356164383562,0.04,0.0958904109589041,0.13355592654424,0.197183098591549,0.169611307420495,0.508810572687221,0.409448818897638,0.191616766467066,0.215384615384615,0.4
"4",0.584070796460177,0.10958904109589,0.56,0.0684931506849315,0.105175292153589,0.225352112676056,0.190812720848057,0.582232011747428,0.330708661417323,0.149700598802395,0.215384615384615,0.6
"5",0.247787610619469,0.397260273972603,0,0.0684931506849315,0.106844741235392,0.140845070422535,0.0989399293286219,0.567547723935388,0.606299212598425,0.137724550898204,0.153846153846154,0.4
"6",0.247787610619469,0.36986301369863,0,0.0616438356164384,0.105175292153589,0.169014084507042,0.120141342756184,0.567547723935388,0.606299212598425,0.137724550898204,0.153846153846154,0.4
"7",0.292035398230089,0.328767123287671,0.06,0.0479452054794521,0.0951585976627713,0.197183098591549,0.187279151943463,0.464757709251094,0.440944881889764,0.0778443113772455,0.153846153846154,0.4
"8",0.238938053097345,0.363013698630137,0,0.0205479452054794,0.0884808013355593,0.197183098591549,0.0530035335689046,0.332599118942729,0.511811023622047,0.0838323353293413,0.246153846153846,0.8
"9",0.283185840707965,0.315068493150685,0.02,0.0753424657534247,0.101836393989983,0.112676056338028,0.0424028268551237,0.494126284875182,0.488188976377953,0.143712574850299,0.169230769230769,0.8
"10",0.256637168141593,0.26027397260274,0.36,0.356164383561644,0.0984974958263773,0.225352112676056,0.339222614840989,0.567547723935388,0.480314960629921,0.281437125748503,0.323076923076923,0.4
"11",0.185840707964602,0.315068493150685,0.08,0.0616438356164384,0.141903171953255,0.197183098591549,0.208480565371025,0.428046989720995,0.425196850393701,0.125748502994012,0.123076923076923,0.4
"12",0.256637168141593,0.26027397260274,0.36,0.356164383561644,0.0984974958263773,0.225352112676056,0.339222614840989,0.567547723935388,0.480314960629921,0.281437125748503,0.323076923076923,0.4
"13",0.0884955752212389,0.339041095890411,0,0.0479452054794521,0.128547579298831,0.211267605633803,0.187279151943463,0.310572687224662,0.661417322834646,0.11377245508982,0.230769230769231,0.4
"14",0.283185840707965,0.335616438356164,0.29,0.0479452054794521,0.170283806343907,0.112676056338028,0.0812720848056537,0.538179148311301,0.409448818897638,0.736526946107784,0.107692307692308,0.4
"15",0.380530973451327,0.342465753424658,0.18,0.198630136986301,0.273789649415693,0.71830985915493,0.491166077738516,0.626284875183555,0.330708661417323,0.32934131736527,0.123076923076923,0.4
"16",0.380530973451327,0.342465753424658,0.19,0.205479452054795,0.263772954924875,0.704225352112676,0.501766784452297,0.626284875183555,0.338582677165354,0.359281437125749,0.123076923076923,0.4
"17",0.345132743362832,0.10958904109589,0.56,0.0616438356164384,0.13355592654424,0.47887323943662,0.342756183745583,0.501468428781202,0.440944881889764,0.251497005988024,0.323076923076923,0.8
"18",0.309734513274336,0.301369863013699,0.28,0.0547945205479452,0.59432387312187,0.211267605633803,0.176678445229682,0.494126284875182,0.291338582677165,0.568862275449102,0.138461538461539,0.4
"19",0.247787610619469,0.321917808219178,0.08,0.23972602739726,0.123539232053422,0.0704225352112676,0.0812720848056537,0.538179148311301,0.503937007874016,0.101796407185629,0.0923076923076923,0.2
"20",0.292035398230089,0.136986301369863,0.51,0.0616438356164384,0.549248747913189,0.225352112676056,0.176678445229682,0.501468428781202,0.236220472440945,0.449101796407186,0.123076923076923,0.6
"21",0.380530973451327,0.0684931506849315,0.48,0.0616438356164384,0.108514190317195,0.394366197183099,0.190812720848057,0.494126284875182,0.511811023622047,0.119760479041916,0.153846153846154,0.6
"22",0.265486725663717,0.184931506849315,0.31,0.0958904109589041,0.11686143572621,0.309859154929577,0.229681978798587,0.596916299559467,0.614173228346457,0.191616766467066,0.2,0.4
